Major_code,Major,Major_category,Grad_employed,Grad_unemployed
2001,COMMUNICATION TECHNOLOGIES,Computers & Mathematics,7512,466
2504,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4442,310
2599,MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,12433,407
2503,INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,14752,603
6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health,37639,987
6202,ACTUARIAL SCIENCE,Business,2020,162
2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,22501,1296
2500,ENGINEERING TECHNOLOGIES,Engineering,9471,450
2105,INFORMATION SCIENCES,Computers & Mathematics,22403,1179
2403,ARCHITECTURAL ENGINEERING,Engineering,4857,304
5102,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",Physical Sciences,3129,28
2419,PETROLEUM ENGINEERING,Engineering,5640,112
1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,22782,735
2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,12781,1336
2102,COMPUTER SCIENCE,Computers & Mathematics,281088,10557
1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,38068,1392
2499,MISCELLANEOUS ENGINEERING,Engineering,19112,685
1106,SOIL SCIENCE,Agriculture & Natural Resources,2284,34
2400,GENERAL ENGINEERING,Engineering,199771,7460
5098,MULTI-DISCIPLINARY OR GENERAL SCIENCE,Physical Sciences,162694,4705
2406,CIVIL ENGINEERING,Engineering,150299,5327
2407,COMPUTER ENGINEERING,Engineering,73147,1592
2416,MINING AND MINERAL ENGINEERING,Engineering,4491,271
1103,ANIMAL SCIENCES,Agriculture & Natural Resources,47755,596
2414,MECHANICAL ENGINEERING,Engineering,266923,9810
1104,FOOD SCIENCE,Agriculture & Natural Resources,10857,370
2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,66432,2669
2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,2673,79
2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,6739,222
4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,3880,445
4002,NUTRITION SCIENCES,Health,31411,773
2408,ELECTRICAL ENGINEERING,Engineering,371723,13974
2402,BIOLOGICAL ENGINEERING,Engineering,16810,695
2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,13042,705
5004,GEOLOGY AND EARTH SCIENCE,Physical Sciences,66748,1881
6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,124688,3174
5000,PHYSICAL SCIENCES,Physical Sciences,5292,208
5002,ATMOSPHERIC SCIENCES AND METEOROLOGY,Physical Sciences,8657,237
2405,CHEMICAL ENGINEERING,Engineering,124544,4997
2401,AEROSPACE ENGINEERING,Engineering,42632,1225
3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics,16979,751
2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,68997,2263
2410,ENVIRONMENTAL ENGINEERING,Engineering,9387,450
2415,METALLURGICAL ENGINEERING,Engineering,9299,218
5005,GEOSCIENCES,Physical Sciences,7443,134
2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,15822,472
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,5032,239
2418,NUCLEAR ENGINEERING,Engineering,8567,100
2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education,42043,954
2404,BIOMEDICAL ENGINEERING,Engineering,19474,366
3501,LIBRARY SCIENCE,Education,15651,483
3611,NEUROSCIENCE,Biology & Life Science,12551,225
3601,BIOCHEMICAL SCIENCES,Biology & Life Science,109944,2728
5008,MATERIALS SCIENCE,Engineering,12263,273
6102,COMMUNICATION DISORDERS SCIENCES AND SERVICES,Health,145102,2103
