customer_number,app_install_time,gender,marital_status,date_of_birth,referral_as_source_of_app_install
1,2018-06-29 20:40:12,MALE,NA,2018-06-05,Not_through_referral
2,2018-07-03 19:11:13,FEMALE,NA,1998-12-08,Not_through_referral
3,2018-07-21 12:03:39,FEMALE,NA,1997-11-19,Installed_through_referral
4,2018-07-23 18:22:37,MALE,NA,2018-01-11,Not_through_referral
5,2018-08-03 01:40:45,MALE,NA,1982-08-19,Not_through_referral
6,2018-06-11 17:45:30,NA,NA,0000-00-00,Not_through_referral
7,2018-06-06 11:25:40,MALE,NA,1993-09-05,Not_through_referral
8,2018-06-21 05:19:13,MALE,NA,2018-04-06,Not_through_referral
9,2018-06-27 13:42:10,FEMALE,NA,2017-09-08,Installed_through_referral
10,2018-07-01 21:19:40,MALE,NA,1998-10-16,Not_through_referral
11,2018-07-04 08:25:07,NA,NA,0000-00-00,Not_through_referral
12,2018-07-14 11:08:49,MALE,NA,1993-06-13,Not_through_referral
13,2018-07-14 11:53:37,FEMALE,NA,1996-07-25,Installed_through_referral
14,2018-07-20 16:32:06,FEMALE,NA,1994-09-12,Not_through_referral
15,2018-07-24 20:53:48,MALE,NA,1987-05-08,Not_through_referral
16,2018-08-09 13:16:38,FEMALE,NA,1996-03-25,Not_through_referral
17,2018-06-03 17:54:42,MALE,NA,2018-06-03,Installed_through_referral
18,2018-07-09 20:50:46,MALE,NA,1993-06-06,Not_through_referral
19,2018-07-09 15:36:22,FEMALE,NA,1996-05-23,Not_through_referral
20,2018-08-10 19:35:16,MALE,NA,1992-06-12,Not_through_referral
21,2018-06-23 08:31:39,MALE,NA,1998-06-01,Not_through_referral
22,2018-06-29 13:40:32,MALE,NA,1998-07-01,Not_through_referral
23,2018-06-26 17:55:27,MALE,NA,2018-06-26,Not_through_referral
24,2018-07-03 17:13:35,MALE,NA,1988-02-15,Installed_through_referral
25,2018-07-08 22:47:10,MALE,NA,1992-06-08,Not_through_referral
26,2018-07-25 12:34:19,FEMALE,NA,2017-12-21,Not_through_referral
27,2018-08-01 13:16:05,FEMALE,NA,1999-10-29,Not_through_referral
28,2018-08-03 10:07:04,MALE,NA,2018-08-01,Not_through_referral
29,2018-08-07 13:17:34,FEMALE,NA,1986-12-15,Not_through_referral
30,2018-06-21 12:59:53,MALE,NA,1981-01-13,Not_through_referral
31,2018-06-16 12:10:56,FEMALE,NA,1999-12-16,Not_through_referral
32,2018-06-22 23:03:35,MALE,NA,1994-07-23,Installed_through_referral
33,2018-06-24 10:22:58,MALE,NA,1984-12-11,Not_through_referral
34,2018-07-04 16:31:46,FEMALE,NA,1989-08-29,Not_through_referral
35,2018-07-19 18:21:27,MALE,NA,1996-07-14,Not_through_referral
36,2018-06-08 17:52:57,FEMALE,NA,1993-12-08,Not_through_referral
37,2018-06-05 17:01:24,MALE,NA,1985-05-20,Not_through_referral
38,2018-06-15 12:33:54,MALE,NA,1997-05-23,Not_through_referral
39,2018-07-13 09:32:01,FEMALE,NA,1995-08-07,Not_through_referral
40,2018-07-22 21:09:40,MALE,NA,1998-11-29,Not_through_referral
41,2018-08-10 14:29:23,MALE,NA,1994-01-03,Installed_through_referral
42,2018-08-04 09:51:30,MALE,NA,1998-03-28,Installed_through_referral
43,2018-06-03 09:38:03,FEMALE,NA,1997-12-05,Installed_through_referral
44,2018-06-13 13:58:50,MALE,NA,1996-08-19,Installed_through_referral
45,2018-06-30 01:42:20,MALE,NA,1998-07-09,Not_through_referral
46,2018-07-29 18:09:42,MALE,NA,2001-10-27,Installed_through_referral
47,2018-08-10 10:56:27,MALE,NA,1988-12-05,Not_through_referral
48,2018-08-12 16:27:07,FEMALE,NA,1998-04-14,Installed_through_referral
49,2018-06-01 15:53:30,MALE,NA,1996-05-15,Installed_through_referral
50,2018-06-06 15:06:16,MALE,NA,1996-08-05,Not_through_referral
51,2018-06-19 21:08:04,FEMALE,NA,1995-01-05,Not_through_referral
52,2018-07-03 14:52:06,FEMALE,NA,2018-07-03,Not_through_referral
53,2018-07-01 18:08:59,MALE,NA,1998-06-23,Not_through_referral
54,2018-07-03 22:18:30,MALE,NA,1980-01-25,Not_through_referral
55,2018-07-25 15:39:42,MALE,NA,1989-02-28,Not_through_referral
56,2018-08-06 11:19:02,MALE,NA,1996-10-29,Installed_through_referral
57,2018-08-07 10:26:08,NA,NA,0000-00-00,Not_through_referral
58,2018-08-12 12:23:57,MALE,NA,1996-11-27,Not_through_referral
59,2018-08-07 19:18:32,FEMALE,NA,1991-10-11,Installed_through_referral
60,2018-06-06 15:01:16,FEMALE,NA,2018-06-06,Not_through_referral
61,2018-06-06 18:22:51,MALE,NA,1993-06-17,Installed_through_referral
62,2018-06-16 13:26:31,MALE,NA,1995-04-27,Not_through_referral
