transaction_number,customer_number,item_name,sale_amount
4271,400,FRAPPE,203
17539,1781,FOOD92,222.5
8963,2444,FOOD6,332
19087,6952,FOOD132,322.5
5139,7786,TOPPING SYRUPS,196
31171,6498,CHEESE SLICE,314
25657,5425,ADD ON ESPRESSO,175
30897,591,LATTE HOT COFFEE,62.5
483,4633,TOPPING SYRUPS,270.5
32735,878,WHIPPED CREAM,430.5
33369,540,FLAVOURED TEA13,542.5
16459,7526,MISCELLANEOUS,190
20767,1710,MISCELLANEOUS,313
29421,2251,COOL BLUE,283
3129,8492,FOOD93,439.5
17473,2986,VANILLA ICE CREAMS,147.5
23223,1085,FOOD12,127.5
33909,670,AMERICAN HOT COFFEE,49
16925,8183,FLAVOURED TEA13,58
4079,3054,MISCELLANEOUS,75
2277,9224,TOPPING SYRUPS,187
1163,8835,FRAPPE,266.5
21079,4548,REGULAR HOT COFFEE,771
10905,8678,MILKSHAKE,73
16215,7431,MISCELLANEOUS,809.5
22623,6196,FRAPPE,100.5
21739,6675,VANILLA ICE CREAMS,186
1387,8797,ICE CREAM8,394.5
24755,4158,ARABIAN HOT COFFEE,132
2785,5339,FRAPPE,102.5
29743,4392,MISCELLANEOUS,189
21211,7520,FRAPPE,256.5
1531,2183,MISCELLANEOUS,146
21783,9313,AMERICAN HOT COFFEE,137
12007,5264,REGULAR HOT COFFEE,139
34393,10429,CHEESE SLICE,214.5
23383,8085,FLAVOURED TEA3,1893.5
2995,3301,AMERICAN HOT COFFEE,61.5
12101,4815,SUPER COLD COFFEE,363
29855,8011,FRAPPE,179.5
17707,1839,CHEESE SLICE,225
11691,5467,CRUNCHY FRAPPE,35
19319,1663,FRAPPE,182.5
19951,540,MISCELLANEOUS,563.5
8553,2852,MISCELLANEOUS,2003
10907,4266,ICE CREAM10,301.5
2525,8112,MISCELLANEOUS,542.5
3857,4828,FRAPPE,163
9701,881,MISCELLANEOUS,72.5
3789,10172,MILKSHAKE,60.5
1643,532,FLAVOURED TEA11,328.5
5917,10021,FLAVOURED FRAPPE,332.5
14611,9799,ADD ON TEA,29
34601,9800,HOT LATTE,355
8311,1309,CHEESE SLICE,512
29301,898,VANILLA ICE CREAMS,378
14251,4174,FOOD92,264
8865,8324,DARK COLD COFFEE,375
8579,7597,#N/A,742.5
27421,4455,DARK HOT COFFEE,238
1969,6466,TOPPING SYRUPS,158.5
12135,905,DARK COLD COFFEE,244.5
21837,6358,CHEESE SLICE,317.5
32359,1689,LATTE HOT COFFEE,524.5
9901,9970,VANILLA ICE CREAMS,88
