transaction_number,customer_number,transaction_time,store_name,sale_amount_including_loyalty_points_used,loyalty_points_used_by_customer,offer_used_by_customer_to_earn_loyalty_points
463,3050,2018-06-01 15:42:43,MUMBAI STORE 333,150.5,0,NA
465,10736,2018-06-01 15:43:28,KANCHIPURAM STORE 72,199.5,0,NA
467,3815,2018-06-01 17:34:04,CHENNAI STORE 1093,118,0,NA
469,8590,2018-06-01 17:52:11,DHANBAD STORE 817,72.5,0,NA
471,3315,2018-06-01 17:56:01,MADURAI STORE 54,177,0,NA
473,4984,2018-06-01 18:20:36,BANGALORE STORE 177,834,0,NA
475,1732,2018-06-01 18:39:08,BANGALORE STORE 211,276.5,0,NA
477,1800,2018-06-01 18:52:07,CHENNAI STORE 17,260,0,NA
479,8362,2018-06-01 18:58:01,NAPUR STORE 967,681,0,NA
481,8990,2018-06-01 19:24:27,JAMSHEDPUR STORE 823,614,0,NA
483,4633,2018-06-01 19:26:02,BANGALORE STORE 218,270.5,0,NA
485,10688,2018-06-01 19:33:20,MADURAI STORE 54,517.5,0,NA
487,9555,2018-06-01 19:57:41,MUMBAI STORE 277,298.5,0,NA
489,3816,2018-06-01 20:20:16,GURGAON STORE 636,75.5,25,NA
491,1162,2018-06-01 20:49:22,GURGAON STORE 636,61.5,25,NA
493,8996,2018-06-01 21:15:32,GURGAON STORE 636,61.5,25,NA
495,939,2018-06-01 22:21:25,GURGAON STORE 635,61.5,25,NA
497,10272,2018-06-02 01:03:13,BANGALORE STORE 155,253,0,NA
499,2868,2018-06-02 11:23:39,PUNE STORE 968,214,0,NA
501,6509,2018-06-02 12:33:44,BANGALORE STORE 195,126.5,0,NA
503,6173,2018-06-02 12:59:24,BANGALORE STORE 174,284.5,0,NA
505,4333,2018-06-02 13:36:52,OOTY STORE 65,101,0,NA
507,4715,2018-06-02 13:40:06,MUMBAI STORE 290,359,25,NA
509,957,2018-06-02 13:44:18,DELHI STORE 584,15,0,NA
511,1092,2018-06-02 13:53:00,BANGALORE STORE 174,201.5,0,NA
513,8136,2018-06-02 13:53:56,NAVI MUMBAI STORE 1275,535.5,0,NA
515,6508,2018-06-02 14:29:41,KOLKATA STORE 740,176.5,25,NA
517,7609,2018-06-02 14:48:31,DELHI STORE 548,66.5,25,NA
519,3390,2018-06-02 14:49:54,DELHI STORE 558,54.5,25,NA
521,775,2018-06-02 14:52:11,MUMBAI STORE 1053,394,0,NA
523,6015,2018-06-02 15:04:32,DELHI STORE 584,58,25,NA
525,4715,2018-06-02 15:38:36,MUMBAI STORE 290,272.5,0,NA
527,1934,2018-06-02 15:57:46,DELHI STORE 574,37.5,0,NA
529,227,2018-06-02 16:22:08,KOLKATA STORE 768,321.5,0,NA
531,2936,2018-06-02 16:24:00,SHIVAMOGGA STORE 1143,70,0,NA
533,3390,2018-06-02 16:36:09,DELHI STORE 574,125.5,25,NA
535,7946,2018-06-02 16:44:02,MEERUT STORE 1080,55,25,NA
537,5069,2018-06-02 16:47:36,CHENNAI STORE 7,200,0,NA
539,5823,2018-06-02 16:51:50,PUNE STORE 932,143,0,NA
541,8004,2018-06-02 16:57:17,NOIDA STORE 590,15,0,NA
543,2192,2018-06-02 16:59:23,CHENNAI STORE 14,267.5,0,NA
545,8811,2018-06-02 17:23:10,BANGALORE STORE 165,207,0,NA
547,873,2018-06-02 17:34:37,BANGALORE STORE 146,325,0,NA
549,8651,2018-06-02 17:41:50,KHARAGPUR STORE 775,300,0,NA
551,10450,2018-06-02 17:47:07,DELHI STORE 558,54.5,25,NA
553,9847,2018-06-02 17:48:58,DELHI STORE 584,51.5,25,NA
555,6458,2018-06-02 18:03:26,BANGALORE STORE 146,488,0,NA
557,2521,2018-06-02 18:26:40,DELHI STORE 558,54.5,25,NA
559,9647,2018-06-02 18:30:55,PUNE STORE 1169,239.5,0,NA
561,6256,2018-06-02 18:50:52,NAGPUR STORE 1008,355,0,NA
563,7621,2018-06-02 19:06:38,BANGALORE STORE 104,447.5,0,NA
565,4178,2018-06-02 19:09:44,KOLKATA STORE 755,325.5,0,NA
567,10154,2018-06-02 19:30:57,NAGPUR STORE 1008,248,0,NA
569,9094,2018-06-02 19:30:59,BENGALURU STORE 1246,283.5,0,NA
571,7957,2018-06-02 19:32:10,BHOPAL STORE 870,202.5,0,NA
573,9340,2018-06-02 19:32:41,DELHI STORE 524,51.5,25,NA
575,10700,2018-06-02 19:35:28,MUMBAI STORE 1010,82,25,NA
577,240,2018-06-02 19:52:20,DELHI STORE 584,51.5,25,NA
579,3166,2018-06-02 20:21:37,DELHI STORE 574,118.5,0,NA
581,10370,2018-06-02 20:29:24,DELHI STORE 524,51.5,0,NA
583,3727,2018-06-02 20:31:09,MUMBAI STORE 277,140,0,NA
585,7226,2018-06-02 20:35:59,DELHI STORE 574,25,25,NA
587,6145,2018-06-02 21:15:50,DELHI STORE 524,51.5,25,NA
589,2305,2018-06-02 21:41:08,VIJAYAWADA. STORE 1200,105,25,NA
591,10601,2018-06-02 22:03:10,GOA STORE 1125,60.5,25,NA
593,4434,2018-06-02 23:34:36,NAGPUR STORE 1008,160.5,0,NA
595,9118,2018-06-03 00:39:39,DELHI STORE 578,522,0,NA
597,7081,2018-06-03 10:06:52,CHENNAI STORE 38,1262,0,NA
599,8144,2018-06-03 11:48:51,BANGALORE STORE 170,177.5,0,NA
601,688,2018-06-03 12:56:55,SURAT STORE 861,79,0,NA
603,7189,2018-06-03 13:31:50,HYDERABAD STORE 480,193,0,NA
605,7412,2018-06-03 13:40:09,BERHAMPUR STORE 1253,231,0,NA
607,8543,2018-06-03 14:14:30,PUNE STORE 389,242.5,0,NA
609,6040,2018-06-03 14:36:36,NOIDA STORE 590,15,0,NA
611,3870,2018-06-03 15:23:37,HYDERABAD STORE 464,938.5,0,NA
613,9017,2018-06-03 15:26:48,HYDERABAD STORE 963,61.5,0,NA
615,9537,2018-06-03 15:51:05,MYSORE STORE 1036,168.5,0,NA
617,4282,2018-06-03 16:05:26,MUMBAI STORE 269,357.5,0,NA
619,4716,2018-06-03 16:25:33,CHANDIGAR STORE 1208,173.5,0,NA
621,9592,2018-06-03 17:16:19,CHANDIGAR STORE 1221,867.5,25,NA
623,5301,2018-06-03 18:06:26,MUMBAI STORE 290,178,0,NA
625,8248,2018-06-03 18:08:53,DELHI STORE 584,51.5,25,NA
627,8710,2018-06-03 18:16:44,GWALIOR STORE 1145,505,25,NA
629,3721,2018-06-03 18:30:36,BANGALORE STORE 1034,186.5,0,NA
631,765,2018-06-03 18:36:19,CHENNAI STORE 1027,203,0,NA
633,5723,2018-06-03 19:12:52,JAIPUR STORE 788,58,25,NA
635,9141,2018-06-03 19:20:13,DELHI STORE 584,51.5,25,NA
637,1422,2018-06-03 19:43:37,SANGLI STORE 429,155.5,0,NA
639,1211,2018-06-03 19:47:30,MUMBAI STORE 295,383,0,NA
641,10733,2018-06-03 19:53:38,MADDUR STORE 243,284.5,25,NA
643,6956,2018-06-03 19:57:20,DELHI STORE 584,51.5,25,NA
645,8882,2018-06-03 20:36:54,MEERUT STORE 1080,55,25,NA
647,3425,2018-06-03 22:30:44,INDORE STORE 1029,75,0,NA
649,5724,2018-06-03 23:50:17,MUMBAI STORE 259,253,0,NA
651,5695,2018-06-03 23:58:20,PUNE STORE 400,66.5,0,NA
653,7011,2018-06-04 09:00:32,HYDERABAD STORE 478,486,0,NA
655,3772,2018-06-04 11:18:18,MANGALORE STORE 230,225.5,0,NA
657,2395,2018-06-04 11:39:08,BANGALORE STORE 130,25,0,NA
659,10070,2018-06-04 12:08:10,ROURKELA STORE 1303,257.5,0,NA
661,5024,2018-06-04 12:57:48,DELHI STORE 574,117.5,0,NA
663,5024,2018-06-04 13:00:57,DELHI STORE 574,82.5,25,NA
665,1986,2018-06-04 13:03:38,SANGLI STORE 429,66.5,0,NA
667,9410,2018-06-04 13:07:16,TUMKUR STORE 246,232,0,NA
669,9449,2018-06-04 13:56:23,AHMEDABAD STORE 842,479.5,0,NA
671,3772,2018-06-04 14:51:47,MANGALORE STORE 230,148,25,NA
673,942,2018-06-04 14:57:52,GURGAON STORE 636,126.5,0,NA
675,9169,2018-06-04 15:24:17,GURGAON STORE 636,61.5,25,NA
677,9118,2018-06-04 15:42:09,DELHI STORE 578,469,25,NA
679,1563,2018-06-04 15:50:55,MOHALI STORE 1300,205,25,NA
681,9493,2018-06-04 15:54:59,PUTTUR. STORE 1194,19,0,NA
683,4951,2018-06-04 16:03:26,PUNE STORE 1056,142.5,0,NA
685,7479,2018-06-04 16:16:29,KOLKATA STORE 761,212,0,NA
687,3837,2018-06-04 16:36:48,AHMEDABAD STORE 957,200.5,0,NA
689,4975,2018-06-04 17:16:45,DELHI STORE 574,71.5,25,NA
691,9673,2018-06-04 17:22:13,VIZAG. STORE 1204,318,0,NA
693,6718,2018-06-04 17:39:29,MOHALI STORE 1184,112,0,NA
695,207,2018-06-04 18:03:41,DELHI STORE 574,40,36.5,NA
697,3147,2018-06-04 18:06:40,NASIK STORE 988,39,0,NA
699,1660,2018-06-04 18:26:11,CHENNAI STORE 15,298,0,NA
701,10028,2018-06-04 18:33:20,KOLKATA STORE 711,378.5,25,NA
703,5025,2018-06-04 19:29:55,BALACHUR STORE 706,73,0,NA
705,8883,2018-06-04 19:41:21,BANGALORE STORE 170,279,0,NA
707,1533,2018-06-04 19:49:37,DHARMAPURI STORE 921,212,116.5,NA
709,8553,2018-06-04 20:06:37,KOLKATA STORE 746,189,0,NA
711,1079,2018-06-04 20:11:57,MUMBAI STORE 354,218.5,0,NA
713,2271,2018-06-04 20:26:04,GWALIOR STORE 881,58,25,NA
715,2070,2018-06-04 20:53:39,GURGAON STORE 635,54.5,25,NA
717,2698,2018-06-04 20:53:52,MUMBAI STORE 1031,138.5,0,NA
719,7072,2018-06-04 20:56:51,CHANDIGAR STORE 1210,58,25,NA
721,852,2018-06-04 21:41:24,JALANDHAR STORE 936,131.5,0,NA
723,401,2018-06-04 22:05:07,HYDERABAD STORE 440,60.5,0,NA
725,5783,2018-06-04 22:05:58,BERHAMPUR STORE 1253,414,0,NA
727,7513,2018-06-04 22:46:11,SURAT STORE 860,68.5,0,NA
729,3721,2018-06-05 00:00:38,BANGALORE STORE 1034,468.5,0,NA
731,750,2018-06-05 01:02:37,CHENNAI STORE 36,1095,0,NA
733,5475,2018-06-05 03:57:51,HYDERABAD STORE 444,521,0,NA
735,3757,2018-06-05 10:53:09,CHENGAPALLI STORE 75,151,0,NA
737,10602,2018-06-05 13:21:39,HYDERABAD STORE 450,317.5,0,NA
739,4634,2018-06-05 13:34:02,KOLKATA STORE 756,73,0,NA
741,10602,2018-06-05 14:07:40,HYDERABAD STORE 450,538,0,NA
743,5159,2018-06-05 14:27:20,DELHI STORE 574,52.5,44,NA
745,112,2018-06-05 14:36:25,KOLKATA STORE 711,179.5,25,NA
747,9938,2018-06-05 14:56:39,DELHI STORE 574,40,25,NA
749,1512,2018-06-05 14:56:40,SHIRDI STORE 1023,196.5,0,NA
751,3773,2018-06-05 16:16:59,NASHIK STORE 408,109,0,NA
753,6459,2018-06-05 16:23:33,BANGALORE STORE 182,173.5,25,NA
755,5415,2018-06-05 16:25:53,GURGAON STORE 636,44,0,NA
757,959,2018-06-05 16:44:03,GUWAHATI STORE 1084,142,25,NA
759,890,2018-06-05 16:54:27,MUMBAI STORE 1127,66.5,0,NA
761,9370,2018-06-05 17:04:17,PUNE STORE 367,227,0,NA
763,67,2018-06-05 17:07:01,LUDHIANA STORE 671,192.5,0,NA
765,6224,2018-06-05 17:10:06,PUNE STORE 390,198.5,0,NA
767,703,2018-06-05 17:22:22,UDAIPUR STORE 804,66.5,0,NA
769,5493,2018-06-05 17:37:12,PUNE STORE 404,253,0,NA
771,10274,2018-06-05 18:06:54,PATIALA STORE 1163,75.5,25,NA
773,5415,2018-06-05 18:29:37,GURGAON STORE 636,63.5,37.5,NA
775,8099,2018-06-05 18:41:44,SANGLI STORE 429,165,0,NA
777,7815,2018-06-05 18:43:05,KOLKATA STORE 937,321.5,0,NA
779,3561,2018-06-05 18:51:52,CHANDIGAR STORE 1211,38,0,NA
781,9109,2018-06-05 19:14:29,CHENNAI STORE 40,287.5,0,NA
783,69,2018-06-05 19:30:56,GWALIOR STORE 1145,55,25,NA
785,5128,2018-06-05 20:40:30,PUNE STORE 375,128,0,NA
787,8228,2018-06-05 21:43:12,KOLKATA STORE 711,212.5,0,NA
789,4080,2018-06-05 23:30:09,CHENNAI STORE 17,175.5,0,NA
791,874,2018-06-06 00:15:50,PUNE STORE 1024,129,0,NA
793,7593,2018-06-06 00:33:22,GURGAON STORE 635,227,25,NA
795,5370,2018-06-06 01:35:42,KOLAR STORE 249,423.5,0,NA
797,9674,2018-06-06 09:49:51,LUDHIANA STORE 1091,46,0,NA
799,4758,2018-06-06 10:42:11,PUNE STORE 384,29,0,NA
801,9234,2018-06-06 10:42:28,MOHALI STORE 682,259.5,0,NA
803,2843,2018-06-06 11:00:53,LUDHIANA STORE 672,161.5,25,NA
805,7218,2018-06-06 11:18:04,BANGALORE STORE 130,25,0,NA
807,10223,2018-06-06 11:40:22,BANGALORE STORE 194,170,0,NA
